Epoch, Step, Loss, Lr, Time
1, 1, 7.3467, 0.000000, 6.09
1, 101, 7.0254, 0.000008, 57.81
1, 201, 6.9195, 0.000016, 106.03
1, 301, 6.8957, 0.000024, 153.10
1, 401, 6.8680, 0.000032, 201.61
1, 501, 6.8374, 0.000040, 249.76
1, 601, 6.7759, 0.000048, 298.89
1, 701, 6.7585, 0.000056, 347.33
1, 801, 6.6219, 0.000064, 395.89
1, 901, 6.4955, 0.000072, 443.11
1, 1001, 6.4266, 0.000080, 492.00
1, 1101, 6.2833, 0.000088, 539.78
1, 1201, 6.2845, 0.000096, 588.18
1, 1301, 6.2497, 0.000104, 636.34
1, 1401, 6.1777, 0.000112, 684.84
1, 1501, 5.9936, 0.000120, 733.18
1, 1601, 6.1124, 0.000128, 781.56
1, 1701, 6.1235, 0.000136, 829.09
1, 1801, 5.9731, 0.000144, 878.03
1, 1901, 6.1201, 0.000152, 925.92
1, 2001, 6.0152, 0.000160, 974.05
1, 2101, 5.8439, 0.000168, 1021.49
1, 2201, 5.8662, 0.000176, 1070.08
1, 2301, 5.8738, 0.000184, 1117.23
1, 2401, 5.8676, 0.000192, 1166.24
1, 2501, 5.8876, 0.000200, 1213.84
2, 1, 5.7775, 0.000200, 5.37
2, 101, 5.7563, 0.000208, 52.86
2, 201, 5.7639, 0.000216, 101.88
2, 301, 5.7735, 0.000224, 149.34
2, 401, 5.6693, 0.000232, 198.11
2, 501, 5.7532, 0.000240, 245.48
2, 601, 5.6577, 0.000248, 294.99
2, 701, 5.6765, 0.000256, 343.24
2, 801, 5.6754, 0.000264, 392.38
2, 901, 5.6427, 0.000272, 440.11
2, 1001, 5.5859, 0.000280, 489.34
2, 1101, 5.4885, 0.000288, 537.56
2, 1201, 5.5221, 0.000296, 586.45
2, 1301, 5.5929, 0.000304, 633.94
2, 1401, 5.4305, 0.000312, 683.11
2, 1501, 5.4335, 0.000320, 730.70
2, 1601, 5.5523, 0.000328, 780.00
2, 1701, 5.3758, 0.000336, 827.39
2, 1801, 5.5467, 0.000344, 877.14
2, 1901, 5.4347, 0.000352, 925.49
2, 2001, 5.1237, 0.000360, 974.90
2, 2101, 5.2731, 0.000368, 1022.75
2, 2201, 5.2680, 0.000376, 1071.82
2, 2301, 5.3897, 0.000384, 1119.29
2, 2401, 5.0942, 0.000392, 1169.57
2, 2501, 5.3419, 0.000400, 1217.58
3, 1, 5.0772, 0.000400, 4.55
3, 101, 5.2036, 0.000408, 52.30
3, 201, 5.1028, 0.000416, 101.06
3, 301, 5.1918, 0.000424, 148.67
3, 401, 5.0873, 0.000432, 198.02
3, 501, 5.1688, 0.000440, 245.25
3, 601, 5.2126, 0.000448, 293.79
3, 701, 5.1677, 0.000456, 342.16
3, 801, 5.0344, 0.000464, 391.55
3, 901, 5.0893, 0.000472, 438.79
3, 1001, 4.9988, 0.000480, 488.25
3, 1101, 4.9174, 0.000488, 534.63
3, 1201, 5.0172, 0.000496, 582.35
3, 1301, 4.8642, 0.000504, 629.21
3, 1401, 4.8775, 0.000512, 677.82
3, 1501, 5.0850, 0.000520, 724.72
3, 1601, 4.8834, 0.000528, 773.22
3, 1701, 4.9507, 0.000536, 819.79
3, 1801, 4.9117, 0.000544, 868.84
3, 1901, 4.8351, 0.000552, 916.01
3, 2001, 4.7522, 0.000560, 964.75
3, 2101, 4.8350, 0.000568, 1012.25
3, 2201, 4.7787, 0.000576, 1060.69
3, 2301, 4.6084, 0.000584, 1108.61
3, 2401, 4.9103, 0.000592, 1156.37
3, 2501, 4.7590, 0.000600, 1205.12
4, 1, 4.6377, 0.000600, 5.63
4, 101, 4.8497, 0.000608, 53.36
4, 201, 4.6166, 0.000616, 101.64
4, 301, 4.6510, 0.000624, 149.18
4, 401, 4.5837, 0.000632, 198.05
4, 501, 4.4730, 0.000640, 245.55
4, 601, 4.5643, 0.000648, 294.99
4, 701, 4.6164, 0.000656, 342.43
4, 801, 4.5717, 0.000664, 391.30
4, 901, 4.5866, 0.000672, 439.49
4, 1001, 4.5740, 0.000680, 489.31
4, 1101, 4.6071, 0.000688, 537.54
4, 1201, 4.3064, 0.000696, 587.01
4, 1301, 4.5489, 0.000704, 634.85
4, 1401, 4.4687, 0.000712, 684.93
4, 1501, 4.3869, 0.000720, 731.99
4, 1601, 4.3634, 0.000728, 780.84
4, 1701, 4.2724, 0.000736, 827.92
4, 1801, 4.3132, 0.000744, 875.83
4, 1901, 4.3835, 0.000752, 924.84
4, 2001, 4.1775, 0.000760, 973.25
4, 2101, 4.3725, 0.000768, 1021.47
4, 2201, 4.2509, 0.000776, 1069.43
4, 2301, 4.3310, 0.000784, 1117.78
4, 2401, 4.2078, 0.000792, 1166.70
4, 2501, 4.0699, 0.000800, 1215.23
5, 1, 4.1334, 0.000800, 5.69
5, 101, 4.1925, 0.000808, 53.75
5, 201, 4.1586, 0.000816, 104.34
5, 301, 4.1926, 0.000824, 151.99
5, 401, 4.1104, 0.000832, 201.21
5, 501, 4.5003, 0.000840, 250.69
5, 601, 4.1869, 0.000848, 300.01
5, 701, 4.1375, 0.000856, 349.99
5, 801, 4.1355, 0.000864, 398.10
5, 901, 4.0362, 0.000872, 446.85
5, 1001, 4.1199, 0.000880, 494.50
5, 1101, 4.1534, 0.000888, 543.67
5, 1201, 4.0736, 0.000896, 591.32
5, 1301, 3.9586, 0.000904, 641.02
5, 1401, 3.9527, 0.000912, 689.60
5, 1501, 3.8772, 0.000920, 738.31
5, 1601, 4.1646, 0.000928, 786.84
5, 1701, 4.0427, 0.000936, 835.27
5, 1801, 3.9854, 0.000944, 884.13
5, 1901, 3.9829, 0.000952, 931.57
5, 2001, 3.9162, 0.000960, 980.61
5, 2101, 4.0696, 0.000968, 1028.06
5, 2201, 3.8517, 0.000976, 1077.70
5, 2301, 3.9568, 0.000984, 1125.56
5, 2401, 4.0693, 0.000992, 1174.26
5, 2501, 4.1099, 0.001000, 1221.66
6, 1, 3.9372, 0.001000, 5.60
6, 101, 3.9947, 0.001000, 52.66
6, 201, 3.8964, 0.001000, 102.35
6, 301, 3.8865, 0.001000, 151.15
6, 401, 3.8149, 0.001000, 201.55
6, 501, 3.8497, 0.001000, 248.83
6, 601, 3.7544, 0.001000, 298.41
6, 701, 3.6886, 0.001000, 347.30
6, 801, 3.7862, 0.001000, 396.91
6, 901, 4.0775, 0.001000, 443.91
6, 1001, 3.8782, 0.001000, 492.60
6, 1101, 3.7982, 0.001000, 539.90
6, 1201, 3.5862, 0.001000, 591.48
6, 1301, 3.7267, 0.001000, 639.47
6, 1401, 3.8330, 0.001000, 688.88
6, 1501, 3.7713, 0.001000, 737.08
6, 1601, 3.6516, 0.001000, 786.91
6, 1701, 3.7434, 0.001000, 836.32
6, 1801, 3.6516, 0.001000, 885.65
6, 1901, 3.9345, 0.001000, 934.95
6, 2001, 3.5806, 0.001000, 987.65
6, 2101, 3.7321, 0.001000, 1035.20
6, 2201, 3.6271, 0.001000, 1083.44
6, 2301, 3.6223, 0.001000, 1130.48
6, 2401, 3.7324, 0.001000, 1179.16
6, 2501, 3.6922, 0.001000, 1230.17
7, 1, 3.5173, 0.001000, 5.89
7, 101, 3.4808, 0.001000, 56.05
7, 201, 3.6774, 0.001000, 104.95
7, 301, 3.5359, 0.001000, 154.68
7, 401, 3.4024, 0.001000, 203.34
7, 501, 3.6069, 0.001000, 252.54
7, 601, 3.4700, 0.001000, 300.12
7, 701, 3.4233, 0.001000, 349.21
7, 801, 3.4685, 0.001000, 396.79
7, 901, 3.6148, 0.001000, 445.46
7, 1001, 3.4195, 0.001000, 493.56
7, 1101, 3.3391, 0.001000, 543.98
7, 1201, 3.4557, 0.001000, 591.46
7, 1301, 3.4102, 0.001000, 640.37
7, 1401, 3.2780, 0.001000, 688.46
7, 1501, 3.6779, 0.001000, 736.59
7, 1601, 3.2807, 0.001000, 785.03
7, 1701, 3.5035, 0.001000, 834.15
7, 1801, 3.3160, 0.001000, 882.51
7, 1901, 3.2758, 0.001000, 930.81
7, 2001, 3.3706, 0.001000, 979.55
7, 2101, 3.3788, 0.001000, 1029.83
7, 2201, 3.4345, 0.001000, 1079.26
7, 2301, 3.3265, 0.001000, 1129.07
7, 2401, 3.2745, 0.001000, 1178.07
7, 2501, 3.4978, 0.001000, 1225.73
8, 1, 3.3230, 0.001000, 5.64
8, 101, 3.4522, 0.001000, 52.83
8, 201, 3.3422, 0.001000, 101.60
8, 301, 3.3693, 0.001000, 149.87
8, 401, 3.2348, 0.001000, 200.19
8, 501, 3.3505, 0.001000, 248.93
8, 601, 3.4329, 0.001000, 296.04
8, 701, 3.3972, 0.001000, 344.80
8, 801, 3.1621, 0.001000, 393.78
8, 901, 3.1775, 0.001000, 442.72
8, 1001, 3.3146, 0.001000, 490.90
8, 1101, 3.3012, 0.001000, 538.89
8, 1201, 3.2614, 0.001000, 586.91
8, 1301, 3.2747, 0.001000, 637.98
8, 1401, 3.2562, 0.001000, 688.56
8, 1501, 3.2579, 0.001000, 737.91
8, 1601, 3.1829, 0.001000, 788.18
8, 1701, 3.4163, 0.001000, 835.82
8, 1801, 3.2707, 0.001000, 884.27
8, 1901, 3.3608, 0.001000, 932.33
8, 2001, 3.0415, 0.001000, 980.65
8, 2101, 3.1500, 0.001000, 1028.99
8, 2201, 3.2699, 0.001000, 1077.86
8, 2301, 3.3629, 0.001000, 1127.17
8, 2401, 3.0314, 0.001000, 1177.11
8, 2501, 3.3751, 0.001000, 1226.06
9, 1, 3.2239, 0.001000, 4.34
9, 101, 3.0877, 0.001000, 54.77
9, 201, 3.1138, 0.001000, 102.44
9, 301, 2.8997, 0.001000, 150.87
9, 401, 2.9488, 0.001000, 199.60
9, 501, 3.1608, 0.001000, 247.70
9, 601, 3.1617, 0.001000, 295.25
9, 701, 3.1557, 0.001000, 343.93
9, 801, 3.0672, 0.001000, 391.41
9, 901, 3.1042, 0.001000, 440.43
9, 1001, 3.0634, 0.001000, 487.98
9, 1101, 3.1757, 0.001000, 536.65
9, 1201, 3.0959, 0.001000, 584.37
9, 1301, 3.0521, 0.001000, 632.43
9, 1401, 3.1812, 0.001000, 679.28
9, 1501, 3.1130, 0.001000, 728.09
9, 1601, 3.1268, 0.001000, 775.75
9, 1701, 3.1289, 0.001000, 824.82
9, 1801, 3.1649, 0.001000, 873.89
9, 1901, 3.0716, 0.001000, 921.04
9, 2001, 3.0154, 0.001000, 969.30
9, 2101, 3.0990, 0.001000, 1018.04
9, 2201, 3.1197, 0.001000, 1066.17
9, 2301, 2.9709, 0.001000, 1114.50
9, 2401, 3.0432, 0.001000, 1163.59
9, 2501, 2.7560, 0.001000, 1212.07
10, 1, 3.1679, 0.001000, 5.84
10, 101, 3.0102, 0.001000, 55.52
10, 201, 2.8686, 0.001000, 105.98
10, 301, 3.0585, 0.001000, 154.45
10, 401, 3.0168, 0.001000, 203.25
10, 501, 2.8787, 0.000999, 251.98
10, 601, 2.9996, 0.000999, 302.08
10, 701, 3.1081, 0.000999, 349.59
10, 801, 2.9979, 0.000999, 399.53
10, 901, 3.0839, 0.000999, 449.35
10, 1001, 3.1246, 0.000999, 498.12
10, 1101, 3.0299, 0.000999, 546.89
10, 1201, 2.9809, 0.000999, 594.88
10, 1301, 3.0670, 0.000999, 644.45
10, 1401, 3.0023, 0.000999, 693.32
10, 1501, 3.0417, 0.000999, 744.62
10, 1601, 2.9982, 0.000999, 793.45
10, 1701, 3.2238, 0.000999, 842.80
10, 1801, 2.9121, 0.000999, 892.74
10, 1901, 2.9238, 0.000999, 942.47
10, 2001, 2.8190, 0.000999, 990.04
10, 2101, 3.0209, 0.000999, 1038.54
10, 2201, 2.9508, 0.000999, 1088.12
10, 2301, 2.8712, 0.000999, 1135.26
10, 2401, 2.7987, 0.000999, 1186.08
10, 2501, 3.0864, 0.000999, 1234.69
11, 1, 3.0112, 0.000999, 4.35
11, 101, 3.1172, 0.000999, 53.98
11, 201, 2.7464, 0.000999, 103.71
11, 301, 2.9007, 0.000999, 151.45
11, 401, 2.9855, 0.000999, 203.38
11, 501, 2.8492, 0.000999, 251.09
11, 601, 2.9885, 0.000999, 301.52
11, 701, 2.8183, 0.000999, 351.38
11, 801, 2.6819, 0.000999, 400.46
11, 901, 2.7680, 0.000999, 447.59
11, 1001, 2.8210, 0.000999, 497.00
11, 1101, 3.0763, 0.000999, 546.06
11, 1201, 2.8653, 0.000999, 593.57
11, 1301, 3.0366, 0.000999, 642.63
11, 1401, 3.0352, 0.000999, 692.24
11, 1501, 3.2117, 0.000999, 740.67
11, 1601, 2.8897, 0.000999, 789.85
11, 1701, 2.7814, 0.000999, 838.23
11, 1801, 2.8979, 0.000999, 886.93
11, 1901, 2.9480, 0.000999, 935.94
11, 2001, 2.8275, 0.000999, 983.60
