Epoch, Step, Loss, Lr, Time
1, 1, 7.3087, 0.000000, 5.94
1, 101, 7.0731, 0.000008, 54.03
1, 201, 6.9265, 0.000016, 102.75
1, 301, 6.8873, 0.000024, 153.49
1, 401, 6.8748, 0.000032, 204.07
1, 501, 6.8357, 0.000040, 253.87
1, 601, 6.8345, 0.000048, 302.38
1, 701, 6.7720, 0.000056, 350.68
1, 801, 6.7052, 0.000064, 400.11
1, 901, 6.6417, 0.000072, 448.78
1, 1001, 6.5401, 0.000080, 502.62
1, 1101, 6.4804, 0.000088, 550.03
1, 1201, 6.3177, 0.000096, 601.64
1, 1301, 6.3217, 0.000104, 649.80
1, 1401, 6.1853, 0.000112, 702.44
1, 1501, 6.2782, 0.000120, 749.14
1, 1601, 6.2030, 0.000128, 798.50
1, 1701, 6.2872, 0.000136, 847.33
1, 1801, 6.1335, 0.000144, 897.21
1, 1901, 6.0129, 0.000152, 944.78
1, 2001, 6.0652, 0.000160, 994.46
1, 2101, 6.0799, 0.000168, 1043.27
1, 2201, 6.0063, 0.000176, 1094.68
1, 2301, 5.9129, 0.000184, 1141.85
1, 2401, 5.9913, 0.000192, 1191.94
1, 2501, 5.8482, 0.000200, 1238.83
2, 1, 5.8257, 0.000200, 5.32
2, 101, 5.9550, 0.000208, 54.86
2, 201, 5.8379, 0.000216, 102.97
2, 301, 5.8640, 0.000224, 152.82
2, 401, 5.8815, 0.000232, 201.48
2, 501, 5.7371, 0.000240, 249.82
2, 601, 5.7890, 0.000248, 298.64
2, 701, 5.7596, 0.000256, 349.13
2, 801, 5.8434, 0.000264, 397.54
2, 901, 5.6904, 0.000272, 447.99
2, 1001, 5.7234, 0.000280, 496.91
2, 1101, 5.6224, 0.000288, 547.01
2, 1201, 5.8348, 0.000296, 596.84
2, 1301, 5.7137, 0.000304, 644.89
2, 1401, 5.4978, 0.000312, 695.81
2, 1501, 5.5773, 0.000320, 743.34
2, 1601, 5.6437, 0.000328, 792.66
2, 1701, 5.4863, 0.000336, 840.25
2, 1801, 5.6291, 0.000344, 893.28
2, 1901, 5.6541, 0.000352, 940.34
2, 2001, 5.4058, 0.000360, 991.53
2, 2101, 5.5334, 0.000368, 1042.42
2, 2201, 5.3400, 0.000376, 1088.86
2, 2301, 5.3899, 0.000384, 1138.39
2, 2401, 5.3681, 0.000392, 1186.01
2, 2501, 5.3160, 0.000400, 1237.24
3, 1, 5.4648, 0.000400, 5.12
3, 101, 5.4496, 0.000408, 54.53
3, 201, 5.2539, 0.000416, 103.36
3, 301, 5.2949, 0.000424, 152.66
3, 401, 5.3286, 0.000432, 201.82
3, 501, 5.2312, 0.000440, 250.43
3, 601, 5.1862, 0.000448, 298.99
3, 701, 5.2255, 0.000456, 348.96
3, 801, 5.0944, 0.000464, 398.44
3, 901, 5.2796, 0.000472, 446.69
3, 1001, 5.0961, 0.000480, 497.50
3, 1101, 5.2437, 0.000488, 546.45
3, 1201, 5.1385, 0.000496, 600.01
3, 1301, 5.0633, 0.000504, 647.25
3, 1401, 5.2274, 0.000512, 697.46
3, 1501, 5.0265, 0.000520, 745.14
3, 1601, 5.1044, 0.000528, 794.95
3, 1701, 5.0611, 0.000536, 843.39
3, 1801, 4.9955, 0.000544, 893.49
3, 1901, 5.0836, 0.000552, 943.28
3, 2001, 5.0433, 0.000560, 990.01
3, 2101, 5.0095, 0.000568, 1040.54
3, 2201, 4.8958, 0.000576, 1088.60
3, 2301, 4.8103, 0.000584, 1138.49
3, 2401, 5.0985, 0.000592, 1187.34
3, 2501, 4.9929, 0.000600, 1236.45
4, 1, 4.9643, 0.000600, 5.39
4, 101, 4.9796, 0.000608, 53.66
4, 201, 4.9323, 0.000616, 103.19
4, 301, 4.8291, 0.000624, 152.53
4, 401, 4.9179, 0.000632, 203.35
4, 501, 4.9222, 0.000640, 251.50
4, 601, 4.7840, 0.000648, 301.59
4, 701, 4.8499, 0.000656, 350.89
4, 801, 4.8691, 0.000664, 401.60
4, 901, 4.6536, 0.000672, 449.98
4, 1001, 4.7474, 0.000680, 499.79
4, 1101, 4.8697, 0.000688, 547.24
4, 1201, 4.6066, 0.000696, 596.43
4, 1301, 4.7980, 0.000704, 644.82
4, 1401, 4.7025, 0.000712, 695.11
4, 1501, 4.5725, 0.000720, 745.54
4, 1601, 4.5741, 0.000728, 793.72
4, 1701, 4.7568, 0.000736, 845.20
4, 1801, 4.7725, 0.000744, 896.34
4, 1901, 4.4705, 0.000752, 943.82
4, 2001, 4.6027, 0.000760, 992.50
4, 2101, 4.6323, 0.000768, 1044.43
4, 2201, 4.6588, 0.000776, 1091.98
4, 2301, 4.4887, 0.000784, 1141.72
4, 2401, 4.7284, 0.000792, 1193.15
4, 2501, 4.6320, 0.000800, 1244.64
5, 1, 4.4842, 0.000800, 5.18
5, 101, 4.6125, 0.000808, 59.34
5, 201, 4.6534, 0.000816, 107.46
5, 301, 4.4771, 0.000824, 157.23
5, 401, 4.4180, 0.000832, 204.74
5, 501, 4.2425, 0.000840, 255.30
5, 601, 4.5147, 0.000848, 304.25
5, 701, 4.5813, 0.000856, 355.14
5, 801, 4.4842, 0.000864, 402.89
5, 901, 4.5020, 0.000872, 452.55
5, 1001, 4.4792, 0.000880, 501.49
5, 1101, 4.2753, 0.000888, 550.75
5, 1201, 4.4020, 0.000896, 602.09
5, 1301, 4.2198, 0.000904, 651.64
5, 1401, 4.4663, 0.000912, 701.46
5, 1501, 4.4195, 0.000920, 748.95
5, 1601, 4.3881, 0.000928, 798.68
5, 1701, 4.2824, 0.000936, 847.77
5, 1801, 4.3803, 0.000944, 897.22
5, 1901, 4.2995, 0.000952, 946.48
5, 2001, 4.2485, 0.000960, 996.04
5, 2101, 4.2160, 0.000968, 1043.90
5, 2201, 4.3337, 0.000976, 1097.44
5, 2301, 4.1331, 0.000984, 1145.18
5, 2401, 4.2639, 0.000992, 1196.42
5, 2501, 4.1815, 0.001000, 1244.25
